Instancia,Tempo medio,Custo medio
a280,0,0
ali535,0,0
att48,0,0
bayg29,0,0
bays29,0,0
berlin52,0,0
bier127,0,0
brazil58,0,0
brg180,0,0
burma14,0,0
ch130,0,0
ch150,0,0
d198,0,0
d493,0,0
dantzig42,0,0
eil101,0,0
eil51,0,0
eil76,0,0
fl417,0,0
fri26,0,0
gil262,0,0
gr120,0,0
gr17,0,0
gr202,0,0
gr21,0,0
gr229,0,0
gr24,0,0
gr431,0,0
gr48,0,0
gr96,0,0
hk48,0,0
kroA150,0,0
kroA200,0,0
kroB100,0,0
kroB150,0,0
kroB200,0,0
kroC100,0,0
kroD100,0,0
kroE100,0,0
lin105,0,0
lin318,0,0
linhp318,0,0
pcb442,0,0
pr107,0,0
pr124,0,0
pr136,0,0
pr144,0,0
pr152,0,0
pr226,0,0
pr264,0,0
pr299,0,0
pr76,0,0
rat195,0,0
rat99,0,0
rd100,0,0
rd400,0,0
si175,0,0
si535,0,0
st70,0,0
swiss42,0,0
ts225,0,0
tsp225,0,0
u159,0,0
ulysses16,0,0
ulysses22,0,0
